NHGISNAM,ICPSRST,ICPSRCTY,GISJOIN,region
Amelia,40,70,G5100070,1
Brunswick,40,250,G5100250,1
Charlotte,40,370,G5100370,1
Chesterfield,40,410,G5100410,1
Cumberland,40,490,G5100490,1
Dinwiddie,40,530,G5100530,1
Halifax,40,830,G5100830,1
Henrico,40,870,G5100870,1
Lunenburg,40,1110,G5101110,1
Mecklenburg,40,1170,G5101170,1
Nottoway,40,1350,G5101350,1
Powhatan,40,1450,G5101450,1
Prince Edward,40,1470,G5101470,1
Surry,40,1810,G5101810,1
Norfolk City,40,7100,G5107100,1
Portsmouth City,40,7400,G5107400,1
Chambers,41,170,G0100170,1
Clay,41,270,G0100270,1
Cleburne,41,290,G0100290,1
Lee,41,810,G0100810,1
Randolph,41,1110,G0101110,1
Tallapoosa,41,1230,G0101230,1
Baldwin,44,90,G1300090,1
Banks,44,110,G1300110,1
Bibb,44,210,G1300210,1
Butts,44,350,G1300350,1
Campbell,44,410,G1300395,1
Carroll,44,450,G1300450,1
Cherokee,44,570,G1300570,1
Clarke,44,590,G1300590,1
Clayton,44,630,G1300630,1
Cobb,44,670,G1300670,1
Columbia,44,730,G1300730,1
Coweta,44,770,G1300770,1
Crawford,44,790,G1300790,1
Dawson,44,850,G1300850,1
DeKalb,44,890,G1300890,1
Douglas,44,970,G1300970,1
Elbert,44,1050,G1301050,1
Fayette,44,1130,G1301130,1
Forsyth,44,1170,G1301170,1
Franklin,44,1190,G1301190,1
Fulton,44,1210,G1301210,1
Glascock,44,1250,G1301250,1
Greene,44,1330,G1301330,1
Gwinnett,44,1350,G1301350,1
Habersham,44,1370,G1301370,1
Hall,44,1390,G1301390,1
Hancock,44,1410,G1301410,1
Haralson,44,1430,G1301430,1
Harris,44,1450,G1301450,1
Hart,44,1470,G1301470,1
Heard,44,1490,G1301490,1
Henry,44,1510,G1301510,1
Jackson,44,1570,G1301570,1
Jasper,44,1590,G1301590,1
Jones,44,1690,G1301690,1
Lincoln,44,1810,G1301810,1
Lumpkin,44,1870,G1301870,1
Mcduffie,44,1890,G1301890,1
Madison,44,1950,G1301950,1
Meriwether,44,1990,G1301990,1
Milton,44,2030,G1302015,1
Monroe,44,2070,G1302070,1
Morgan,44,2110,G1302110,1
Muscogee,44,2150,G1302150,1
Newton,44,2170,G1302170,1
Oconee,44,2190,G1302190,1
Oglethorpe,44,2210,G1302210,1
Paulding,44,2230,G1302230,1
Pike,44,2310,G1302310,1
Polk,44,2330,G1302330,1
Putnam,44,2370,G1302370,1
Rockdale,44,2470,G1302470,1
Spalding,44,2550,G1302550,1
Talbot,44,2630,G1302630,1
Taliaferro,44,2650,G1302650,1
Taylor,44,2690,G1302690,1
Troup,44,2850,G1302850,1
Upson,44,2930,G1302930,1
Walton,44,2970,G1302970,1
Warren,44,3010,G1303010,1
White,44,3110,G1303110,1
Wilkes,44,3170,G1303170,1
Alamance,47,10,G3700010,1
Alexander,47,30,G3700030,1
Anson,47,70,G3700070,1
Burke,47,230,G3700230,1
Cabarrus,47,250,G3700250,1
Caswell,47,330,G3700330,1
Catawba,47,350,G3700350,1
Chatham,47,370,G3700370,1
Cleveland,47,450,G3700450,1
Davidson,47,570,G3700570,1
Davie,47,590,G3700590,1
Durham,47,630,G3700630,1
Forsyth,47,670,G3700670,1
Franklin,47,690,G3700690,1
Gaston,47,710,G3700710,1
Granville,47,770,G3700770,1
Guilford,47,810,G3700810,1
Iredell,47,970,G3700970,1
Lincoln,47,1090,G3701090,1
Mecklenburg,47,1190,G3701190,1
Montgomery,47,1230,G3701230,1
Moore,47,1250,G3701250,1
Orange,47,1350,G3701350,1
Person,47,1450,G3701450,1
Polk,47,1490,G3701490,1
Randolph,47,1510,G3701510,1
Richmond,47,1530,G3701530,1
Rockingham,47,1570,G3701570,1
Rowan,47,1590,G3701590,1
Rutherford,47,1610,G3701610,1
Stanly,47,1670,G3701670,1
Stokes,47,1690,G3701690,1
Surry,47,1710,G3701710,1
Union,47,1790,G3701790,1
Vance,47,1810,G3701810,1
Wake,47,1830,G3701830,1
Warren,47,1850,G3701850,1
Yadkin,47,1970,G3701970,1
Abbeville,48,10,G4500010,1
Aiken,48,30,G4500030,1
Anderson,48,70,G4500070,1
Cherokee,48,210,G4500210,1
Chester,48,230,G4500230,1
Chesterfield,48,250,G4500250,1
Edgefield,48,370,G4500370,1
Fairfield,48,390,G4500390,1
Greenville,48,450,G4500450,1
Greenwood,48,470,G4500470,1
Kershaw,48,550,G4500550,1
Lancaster,48,570,G4500570,1
Laurens,48,590,G4500590,1
Lexington,48,630,G4500630,1
Newberry,48,710,G4500710,1
Oconee,48,730,G4500730,1
Pickens,48,770,G4500770,1
Richland,48,790,G4500790,1
Saluda,48,810,G4500810,1
Spartanburg,48,830,G4500830,1
Union,48,870,G4500870,1
York,48,910,G4500910,1
Greensville,40,810,G5100810,2
Isle Of Wight,40,930,G5100930,2
Nansemond,40,1230,G5101230,2
Norfolk,40,1290,G5101290,2
Princess Anne,40,1510,G5101510,2
Southampton,40,1750,G5101750,2
Sussex,40,1830,G5101830,2
Baldwin,41,30,G0100030,2
Barbour,41,50,G0100050,2
Bullock,41,110,G0100110,2
Butler,41,130,G0100130,2
Choctaw,41,230,G0100230,2
Clarke,41,250,G0100250,2
Coffee,41,310,G0100310,2
Conecuh,41,350,G0100350,2
Covington,41,390,G0100390,2
Crenshaw,41,410,G0100410,2
Dale,41,450,G0100450,2
Dallas,41,470,G0100470,2
Escambia,41,530,G0100530,2
Geneva,41,610,G0100610,2
Hale,41,650,G0100650,2
Henry,41,670,G0100670,2
Lowndes,41,850,G0100850,2
Macon,41,870,G0100870,2
Marengo,41,910,G0100910,2
Mobile,41,970,G0100970,2
Monroe,41,990,G0100990,2
Montgomery,41,1010,G0101010,2
Perry,41,1050,G0101050,2
Pike,41,1090,G0101090,2
Russell,41,1130,G0101130,2
Sumter,41,1190,G0101190,2
Washington,41,1290,G0101290,2
Wilcox,41,1310,G0101310,2
Alachua,43,10,G1200010,2
Baker,43,30,G1200030,2
Bradford,43,70,G1200070,2
Calhoun,43,130,G1200130,2
Clay,43,190,G1200190,2
Columbia,43,230,G1200230,2
Duval,43,310,G1200310,2
Escambia,43,330,G1200330,2
Franklin,43,370,G1200370,2
Gadsden,43,390,G1200390,2
Hamilton,43,470,G1200470,2
Holmes,43,590,G1200590,2
Jackson,43,630,G1200630,2
Jefferson,43,650,G1200650,2
Lafayette,43,670,G1200670,2
Leon,43,730,G1200730,2
Liberty,43,770,G1200770,2
Madison,43,790,G1200790,2
Nassau,43,890,G1200890,2
Putnam,43,1070,G1201070,2
St Johns,43,1090,G1201090,2
Santa Rosa,43,1130,G1201130,2
Suwannee,43,1210,G1201210,2
Taylor,43,1230,G1201230,2
Wakulla,43,1290,G1201290,2
Walton,43,1310,G1201310,2
Washington,43,1330,G1201330,2
Appling,44,10,G1300010,2
Baker,44,70,G1300070,2
Berrien,44,190,G1300190,2
Brooks,44,270,G1300270,2
Bryan,44,290,G1300290,2
Bulloch,44,310,G1300310,2
Burke,44,330,G1300330,2
Calhoun,44,370,G1300370,2
Camden,44,390,G1300390,2
Charlton,44,490,G1300490,2
Chatham,44,510,G1300510,2
Chattahoochee,44,530,G1300530,2
Clay,44,610,G1300610,2
Clinch,44,650,G1300650,2
Coffee,44,690,G1300690,2
Colquitt,44,710,G1300710,2
Decatur,44,870,G1300870,2
Dodge,44,910,G1300910,2
Dooly,44,930,G1300930,2
