"region","section","occupation","white","white_hispanic","white_nonhispanic","black","other","native_white","immigrant_white","total"
"All Cotton Belt","Farm","Farm owners",773124,2207,770917,151059,1199,751502,21622,925382
"All Cotton Belt","Farm","Farm tenants",494651,1410,493241,546477,1,480676,13975,1041129
"All Cotton Belt","Farm","Farm foremen",538,4,534,105,0,515,23,643
"All Cotton Belt","Farm","Farm laborers (family)",713367,2751,710616,751547,1168,705575,7792,1466082
"All Cotton Belt","Farm","Farm laborers (other)",170303,4178,166125,416753,501,162699,7604,587557
"All Cotton Belt","Farm","Subtotal",2151983,10550,2141433,1865941,2869,2100967,51016,4020793
"All Cotton Belt","Non-farm","Professional and technical",121588,565,121023,27710,28,116354,5234,149326
"All Cotton Belt","Non-farm","Managers, officials, and proprietors",156630,929,155701,10882,270,138156,18474,167782
"All Cotton Belt","Non-farm","Clerical and kindred",65489,470,65019,4613,10,62924,2565,70112
"All Cotton Belt","Non-farm","Sales workers",108732,794,107938,5068,61,101295,7437,113861
"All Cotton Belt","Non-farm","Craftsmen",207642,1386,206256,52243,47,187999,19643,259932
"All Cotton Belt","Non-farm","Operatives",239061,1628,237433,105752,947,228017,11044,345760
"All Cotton Belt","Non-farm","Household servants",63119,805,62314,215548,85,60035,3084,278752
"All Cotton Belt","Non-farm","Other service workers",57515,825,56690,158816,143,51611,5904,216474
"All Cotton Belt","Non-farm","Laborers",237856,6620,231236,468128,404,222410,15446,706388
"All Cotton Belt","Non-farm","Subtotal",1257632,14022,1243610,1048760,1995,1168801,88831,2308387
"All Cotton Belt","Total","Total",3409615,24572,3385043,2914701,4864,3269768,139847,6329180
"Piedmont","Farm","Farm owners",122980,15,122965,21649,19,122257,723,144648
"Piedmont","Farm","Farm tenants",96492,11,96481,103853,0,95918,574,200345
"Piedmont","Farm","Farm foremen",70,0,70,9,0,70,0,79
"Piedmont","Farm","Farm laborers (family)",134934,14,134920,148979,3,134778,156,283916
"Piedmont","Farm","Farm laborers (other)",28141,2,28139,90315,2,28055,86,118458
"Piedmont","Farm","Subtotal",382617,42,382575,364805,24,381078,1539,747446
"Piedmont","Non-farm","Professional and technical",20552,24,20528,5430,2,20096,456,25984
"Piedmont","Non-farm","Managers, officials, and proprietors",27165,17,27148,2110,0,25745,1420,29275
"Piedmont","Non-farm","Clerical and kindred",11684,12,11672,1005,3,11454,230,12692
"Piedmont","Non-farm","Sales workers",18648,21,18627,942,9,18015,633,19599
"Piedmont","Non-farm","Craftsmen",38723,38,38685,11866,0,37252,1471,50589
"Piedmont","Non-farm","Operatives",81631,41,81590,20645,137,80946,685,102413
